f,,CREATOR,TITLE,TITLE_PUB,Texte illustré par une photo prise par Roud,CONTRIBUTOR,NUMBER,PLACE,PUBLISHER,DATE,FORMAT,REUSED,TRANSCRIBED,WEBSITE_INTEREST,DIGITIZED,Original dans le fonds Roud CRLR
377,Périodique,Roud Gustave,"Bain d'un faucheur, Les Cueilleurs de pommes",Le Thyrse,,,"67e année, 7-8",,,1965-07(-08),p. 391-392,Repris de Horizon (1946) et du Repos du Cavalier.,Pas fait (variantes inscrites en note),,,Oui
229,Périodique,Roud Gustave,Bain d’un faucheur,"Cahiers du Sud, ""Images de la Suisse""",,,Numéro spécial,,,1943-04,p. 308-309,"Déjà publié dans la revue Présence, en février 1935. Sans modification. Publié dans Pour un moissonneur (1941), Ecrits II, p.50-52. Horizon, vol. 13, n°74, 1946, p. 106-107 (avec une introduction de Georges Nicole, traduite en anglais).",Pas fait,,,Oui
251,Périodique,Roud Gustave,Beau-Site,Gazette de Beau-Site,,,64,Leysin,,1946-06,p. 17,,Fait,,,Oui
54,Périodique,Roud Gustave,"Beaux-Arts, Dessins d’Auberjonois",Gazette de Lausanne,,,,,,1929-05-19,p. 2,"Avant les autruches, après les iguanes, p. 144-145.",Fait,,,
169,Périodique,Roud Gustave,"Besoin de grandeur (rubrique ""La Revue des livres"")",La Revue,,,125,,,1937-05-09,p. 2,,Fait,,,Oui
175,Périodique,Roud Gustave,"Bouvreuil (rubrique ""Saisons"")",Suisse romande,,,"1ère série, 4",,,1938-01-15,p. 188-190,Air de la solitude,Fait,,,Oui
69,Périodique,Roud Gustave,Brouillard,Aujourd'hui,,,13,,,1930-02-27,p. 1,,Fait,,,Oui
187,Périodique,Roud Gustave,Bûcheron de mars,La Guilde du Livre,,,3,,,1939-03,p. 34-36,"Avec deux photographies. “Bûcheron de mars”, Air de la solitude, Ecrits II, p. 141-147 (sans les photographies)",Fait,,,Oui
366,Périodique,Roud Gustave,C. F. Ramuz – Architecte du livre,"Librarium, Revue de la Société suisse des bibliophiles",,,"3ème année, 2",,,1960-08,p. 105-110,,Fait,,,Oui
600,Périodique,Roud Gustave,C'est la saison des foins… sur les coteaux du Jorat,Lectures du foyer,,,"28e année, 25",,,1939-06-24,p. 3-5,"Avec un photographie de Roud en première page. Repris avec plusieurs modifications dans ""Les Foins"", Le Courrier de la Plata, août 1946.",Fait,,,Oui
108,Périodique,Roud Gustave,Calendrier,Aujourd'hui,,,55,,,1930-12-18,p. 3,"Repris avec quelques variantes dans Air de la solitude, Écrits II, p. 205-206 (le premier paragraphe) et p. 217-219 (la suite et la fin). Écrit à Carrouge, p. 27-30.",Fait,,,Oui
96,Périodique,Roud Gustave,"Calendrier (rubrique ""Aujourd'hui"")",Aujourd'hui,,textes non signés,39,,,1930-08-28,p. 1,"Une partie du paragraphe qui commence par “On vit dans l’incertitude…” (”De ce banc… le coeur se serre”), est reprise et modifiée dans Campagne perdue, Écrits III, p. 102-103, ainsi que le paragraphe “L’homme qui s’arrête à la nuit tombante...” (Campagne perdue, p. 99-100). Cahiers, 6, p. 32-34. Écrit à Carrouge, p. 16-21.",Fait,,,
99,Périodique,Roud Gustave,"Calendrier, Adieux (rubrique ""Aujourd'hui"")",Aujourd'hui,,textes non signés,43,,,1930-09-25,p. 1,"Le premier paragraphe a été repris et modifié, jusqu’à la citation de Baudelaire, dans Campagne perdue, Écrits III, p. 122-123. De même, une partie du paragraphe qui commence par “L’amour de la fraîcheur...” (depuis “la première feuille” jusqu’à la première feuille morte”) est reprise dans Campagne perdue, p. 117-118. Le dernier paragraphe est repris, avec quelques variantes (Olivier y devient par exemple Aimé) dans Air de la solitude, Écrits II, p. 80-81."" Cahiers, 6, p. 35-36. Écrit à Carrouge.",Fait,,,
90,Périodique,Roud Gustave,"Calendrier, Porte des foins, (rubrique ""Aujourd'hui"")",Aujourd'hui,,textes non signés,29,,,1930-06-19,p. 1,"""Le paragraphe “Le trèfle d’un vert sombre [...] un village aux dents” est repris et modifié dans Campagne perdue, Écrits III, p. 116-117. Le dernier paragraphe, depuis “ces vies mystérieuses”, est aussi repris et modifié dans Campagne perdue, p. 152-153. Daniel Maggetti, Écrit à Carrouge, Fata Morgana, 2011, p. 11-15.",Fait,,,
408,Périodique,Roud Gustave,Campagne perdue,Gazette de Lausanne,,,,,,1972-04-15(-16),p. 23,"Extraits de Campagne perdue: “Je m’assieds avec tous (...) dernier revoir” est repris dans CP, Ecrits III, p.192-193. Depuis “Hier soir” jusqu’au bas de la page, l’extrait est repris dans CP, Ecrits III, p.168-169.",Fait,,,Oui
372,Périodique,Roud Gustave,"Casimir Reymond, jeune peintre",Gazette de Lausanne,,,,,,1963-05-25(-26),p. 20,"Salut à quelques peintres, p.69-72.",Fait,,,
339,Périodique,Roud Gustave,"Catherine Colomb, romancière vaudoise (""Moments littéraires"")",Gazette de Lausanne,,,,,,1956-04-28(-29),p. 10,"Repris dans Cahiers 9, p. 63-68.",Fait,,,Oui
57,Périodique,Roud Gustave,"Choses (I. Goudron, II. Noir et blanc, III. Illusion)",Aujourd'hui,,,2,,,1929-12-12,p. 1,"Le premier paragraphe, “Goudron”, est repris, sans le titre et avec quelques variantes, dans Campagne perdue, Écrits III, p. 179-180. Cahiers, 6, p. 21.",Fait,,,Oui
77,Périodique,Roud Gustave,Choses recommandées,Aujourd'hui,,,20,,,1930-04-17,p. 1,Roud recommande deux lectures.,Pas fait,,,
617,Périodique,Roud Gustave,Corbehaut,Gazette de Lausanne,,,,,,1970-02-28(-03-01),p. 30,Reprend en partie la préface à Corbehaut de Félix Vallotton.,Pas fait,,,Oui
181,Périodique,Roud Gustave,Création d’une rose,Illustré,,,29,,,1938-07-21,p. 929-930,,Fait,,,Oui
256,Périodique,Roud Gustave,Cueilleurs de pommes à Monnéaz,La Guilde du Livre,Oui,,11,,,1946-11,p. 278-281,"Repris, avec plusieurs variantes, dans “Cueilleurs de pommes”, Le repos du cavalier, Ecrits II, p. 266-272.",Fait,,,Oui
420,Périodique,Roud Gustave,D'une campagne perdue,Orte,,,11,,,1976-09/10,p. 32-33,Texte français avec traduction allemande de Werner Bucher. Le texte français est repris avec de très légères modifications de la version de Campagne perdue.,Pas repris,,,
268,Périodique,Roud Gustave,D’un cahier d’instants,"13/12, Organe de l'association romande du personnel de la librairie et de l'édition (ARPLE), ""Écrivains vaudois""",,,"3e année, 13",,,1947-12,p. 14-16,"Reprend en partie ""Dictée"", 1940.  Repris de façon disparate dans Campagne perdue. “Le soleil revenu [...] répète pour demain” est repris avec quelques variantes dans CP, Écrits III, p. 114. “Brève fugue [...] venaient d’ailleurs” est repris avec quelques variantes dans CP, Écrits III, p. 140-141.""",Fait,,,Oui
183,Périodique,Roud Gustave,"D’un carnet d’été, Moulin de Lussery (rubrique ""Saisons"")",Suisse romande,,,"2e série, 4",,,1938-09-15,p. 175-177,"Repris de façon disparate dans Campagne perdue et Air de la solitude. “Vraiment c’est à perdre coeur [...] dans la solitude”, repris CP, Écrits III, p. 109-110. “Le vent toute la nuit [...] parmi ceux de l’été”, repris CP, Écrits III, p. 105-106. “Bonheur d’un instant [...] le poing à sa bride”, repris Air de la solitude, Écrits II, p. 180. “Mon ami le meunier [...] la route qui ne conduit nulle part”, repris CP, Écrits III, p. 163-165. Cahiers, 6, p. 58-59. Repris, avec quelques variations.",Fait,,,Oui
129,Périodique,Roud Gustave,D’un carnet de juin,Aujourd'hui,,,83,,,1931-07-02,p. 1-2,"Feuillets, Écrits I, p. 71-73, p. 73-74. Air de la solitude, II, p. 189 et p. 171. Cahiers, 6, p. 42-44.",Fait,,,Oui
64,Périodique,Roud Gustave,"D’un manifeste (rubrique ""Textes"" (chronique))",Aujourd'hui,,,6,,,1930-01-09,p. 5,,Fait,,,
373,Périodique,Roud Gustave,D’un Requiem,Écriture,,,1,,,1964-04,p. 9-11,"Repris dans Requiem, Écrits III, p. 45-49.",Fait,,,
192,Périodique,Roud Gustave,D’une certaine pureté,La Guilde du Livre,,,1,,,1940-01,p. 2-4,"“D’une certaine pureté”, Air de la solitude, Ecrits II, p. 207-216. Contient une traduction d'extraits de Wilhelm Müller, [Chaque jour, qui me chasse…], ""Berceuse du ruisseau"", ""Sur la rivière"" (""Auf dem Fluss""), dans Voyage d'hiver (Belle Meunière), repris dans Cahiers Gustave Roud 3.",Fait,,Oui,Non (mais dans boîte La Guilde du Livre)
364,Périodique,Roud Gustave,D’une marche de nuit ancienne,Tourisme pédestre (Annuaire 1959-1960),,,,,,1959-,p. 26-27,,Fait,,,Oui
282,Périodique,Roud Gustave,D’une quête,Botteghe oscure,,,5,,,1950-05,p. 284-289,"Reprend, avec plusieurs modifications et amplifications, “Deux moments d’une quête”, paru en novembre - décembre 1941 dans la Suisse contemporaine. Repris, avec quelques variantes, en ouverture de Requiem, Ecrits III, p.27-41.",Fait,,,Oui
330,Périodique,Roud Gustave,De Carrouge à Grignan. Lettre à Philippe Jaccottet,Gazette de Lausanne,,,,,,1955-06-04(-05),p. 9 et 11,"Repris dans ""Lettre"", Le Repos du cavalier, Ecrits II, pp. 277-284.",Fait,,,
52,Périodique,Roud Gustave,Découverte de Portalban,La Nouvelle Semaine artistique et littéraire,,,45,,,1928-12-15,p. 712,,Fait,,,Oui
162,Périodique,Roud Gustave,Dédicace,Schweizer Annalen / Annales suisses,,,1,,,1935-11,p. 15,"Lettres sur le romantisme allemand, correspondance avec Albert Béguin, Lausanne, Études de lettres, 1974, p. 7. Repris, avec des variantes, en ouverture de Requiem, Écrits III, p. 27-29.",Fait,,,Oui
290,Périodique,Roud Gustave,Défaite de l’hiver,Vie Art Cité,,,1,,,1951,p. 1-3,"Les fleurs et les saisons, p.85-88. Repris avec des modifications de ""Fin d'hiver au Jorat"", 1939.",Fait,,,Oui
618,Périodique,Roud Gustave,Des Cahiers du Sud à l'Ame romantique et le rêve. Lettres d'Albert Béguin et de Gustave Roud,Études de Lettres,,,3,,,1974-07(-09),p. 15-26,Publication de certaines lettres avant la parution de la correspondance complète en volume.,Pas fait,,,Oui
360,Périodique,Roud Gustave,Des Cahiers vaudois à Aujourd’hui,"Préface à C.F. Ramuz, Lettres (1919-1947)",,,,Etoy,Les Chantres,1959-,p. 25-31,"Préface. Un extrait de ce texte a paru sous le titre “Aujourd’hui” dans la Gazette de Lausanne, 31 octobre – 1er novembre 1959. Ce même texte a paru simultanément à La Guilde du Livre et chez Grasset.  ",Fait,,,
303,Périodique,Roud Gustave,Des musiques volées aux musiques choisies,Carreau,,,35,,,1953-12,p. 1,"Contient deux vers d'un poème de Trakl traduit par Roud: ""Une fontaine chante. Les nuages / Au coeur du bleu glissent, doux et légers…""",Fait,,,Non
165,Périodique,Roud Gustave,"Des sous-verre de René Auberjonois (rubrique ""Les expositions"")",Tribune de Lausanne,,,,,,1936-05-02,p. 5,"Avant les autruches, après les iguanes, p. 248.",Fait,,,Oui
148,Périodique,Roud Gustave,"Dessins d'Auberjonois (rubrique ""Beaux-Arts"")",Gazette de Lausanne,,,,,,1932-03-10,p. 1,"Avant les autruches, après les iguanes, p. 185-186.",Fait,,,
46,Périodique,Roud Gustave,"Dessins de René Auberjonois, Salon Vallotton (Grand-Chêne)",Tribune de Lausanne,,,,,,1925-02-22,p. 6,,Fait,,,
274,Périodique,Roud Gustave,Dessins de Seurat,Pour l'Art,,,3,,,1948-11(-12),p. 12 et 15,"Salut à quelques peintres, p.19-24.",Fait,,,Non
133,Périodique,Roud Gustave,"Dessus de portes (rubrique ""Notes"")",Aujourd'hui,,,88,,,1931-08-06,p. 1-2,,Fait,,,
135,Périodique,Roud Gustave,"Dessus de portes, Documentaire (rubrique ""Notes"")",Aujourd'hui,,,91,,,1931-08-27,p. 4-5,,Fait,,,Images du Jorat
291,Périodique,Roud Gustave,Deux feuillets de journal,Présence de Ramuz,,,,Lausanne,La Guilde du Livre,1951-10,p. 54-58,"Avec Ramuz, p. 17-28.",Fait,,,
20,Périodique,Roud Gustave,"Deux feuillets de journal, Hommage, Au temps d'Aujourd'hui, Poétique, La Présence perdue, Voilà vingt ans s'éteignait le grand Ramuz","Ramuz vu par ses amis: Adrien Bovy, Charles-Albert Cingria, Edmond Gilliard, Paul Budry, Ernest Ansermet, René Auberjonois, Albert Muret, Elie Gagenbin, Henri-Louis Mermod, Gustave Roud",,"préface de Gérard Buchet, éd. Pierre Olivier Walzer et Gérard Buchet",,Lausanne,L'Âge d'Homme,1988,p. 167-199,Reprise de textes de Roud sur Ramuz,,,,
172,Périodique,Roud Gustave,"Deux fragments d’un hommage à C. F. Ramuz (rubrique ""Saisons""; 1. Les courses de chevaux, 2. Finale)",Suisse romande,,,"2e série, 2",,,1938-06-01,p. 80-82,"Fragment repris dans ""Hommage. Toute-puissance de la poésie (Scène)"", Feuille centrale de Zofingue, 81e année, 9/10, août/septembre 1941, pp. 491-494 et 502-503 (repris en volume la même année par la Librairie Rouge à Lausanne, pp. 24-26 et 34-35). Ce texte a été inséré par Philippe Jaccottet au recueil des Écrits, dans une adjonction que Jaccottet a nommée ""Scène"". Le premier chapitre, “1.Les courses de chevaux”, se retrouve ainsi dans Scène, Écrits II, p.14-17. Le second chapitre, “2.",Fait,,,Oui
224,Périodique,Roud Gustave,Deux images de juin,Papillons,,,2,,,1943,s. n. p.,"“Le double ciel” est repris dans Air de la solitude, p. 205-206. Le “Cavalier endormi” est repris et amplifié dans ""Le Repos du cavalier”, Le Repos du cavalier, p. 255-258. Cahiers, 6, p. 78-79.",Fait,,,Oui
207,Périodique,Roud Gustave,Deux moments d’une quête,Suisse contemporaine,,,6,,,1941-11(-12),p. 805-808,"Repris avec plusieurs variantes dans Requiem, Écrits III, entre les p. 27 et 41.",Fait,,,Non
611,Périodique,Roud Gustave,Deux poëmes du temps de la moisson,,,,,Lausanne,Imprimerie Held,?,p. 2-4,"Contient ""Sommeil d'Aimé"" et ""Bain"". Plaquette de 4 pages.",,,,Oui
150,Périodique,Roud Gustave,Deux poëmes du temps de la moisson (Sommeil d'Aimé et Bain),"Nos plumes et nos presses, Anthologie des écrivains et des imprimeurs, publiée à l'occasion du Premier Salon du Livre, de la Presse et des Arts graphiques, au Comptoir Suisse, par la Société des Écrivains suisses et la Société Suisse des Maîtres-Imprimeurs",,,,Lausanne,,1934,,"Le poème “Sommeil d’Aimé” est repris avec de légères variantes dans “Sommeil d’Aimé”, Air de la solitude, Écrits II, p. 185-188. Ce poème a également été repris dans Haut-Jorat, p. 36-38 (Fata Morgana, 2001). Le poème “Bain” reprend un poème du même titre de la section “Année”, Essai pour un paradis, Écrits I, p. 260-262.",Fait,,,Oui (uniquement la plaquette de Roud)
199,Périodique,Roud Gustave,Dictée,Pages,,,4,,,1941-10,p. 3-4,"Repris dans « Nuit de paille », Campagne perdue",Fait,,,Non
194,Périodique,Roud Gustave,Dictées,La Guilde du Livre,,,7,,,1940-07,p. 109-110,"Repris de façon disparate dans Campagne perdue. “Son fils m’apporte [...] main fauve” est repris dans CP, Écrits III, p. 154. “Je suis dans la forêt [...] lessive de soleil” est repris dans CP, Écrits III, p. 107. “Un tout petit écureuil [...] la moisson” est repris dans CP, Écrits III, p. 108-109. “Denezy [...] fleurs d’un jour” est repris dans CP, Écrits III, p. 110-111. Cahiers, 6, p. 67-70.",Fait,,,Oui
608,Périodique,Roud Gustave,"Dissolution des comités littéraires de la Guilde, une lettre de Gustave Roud",Feuille d'Avis de Lausanne,,,,,,1967-01-04,p. 15,,"Trouvé dans la correspondace avec Marcel Raymond, CG 419.",,,
68,Périodique,Roud Gustave,"Dons de poèmes (rubrique ""Textes"" (chronique))",Aujourd'hui,,,12,,,1930-02-20,p. 5-6,"Sur Mallarmé, Valéry, Rimbaud, Dante, Poe.",Fait,,,
195,Périodique,Roud Gustave,Dragon,Formes et couleurs,,,2 – 3,,,1940-08,p. 111-112.,"“Dragon”, Air de la solitude, Ecrits II, p. 39-43. Adam : international review, 171, 1947, p. 14-15.",Fait,,,
269,Périodique,Roud Gustave,Dragons,L'Année hippique,,,,,,1948,p. 80-82,"Cahiers, 6, p.123-126.",Fait,,,Non
266,Périodique,Roud Gustave,Dragons à Chapelle,Gazette de Lausanne,,,,,,1947-11-08,p. 7,"Cahiers, 6, p. 120.",Fait,,,Oui
158,Périodique,Roud Gustave,Dragons de février,Revue de Belles-Lettres,,,3,,,1935-03,p. 17-18,"Ce texte sera repris, avec plusieurs modifications, dans “Dragon”, publié dans Formes et couleurs, n° 2-3, en août 1940. Repris sous le titre “Dragon” dans Pour un moissonneur, Écrits II, p. 39-43, avec plusieurs modifications et amplifications. Cahiers, 6, p. 60.",Fait,,,Oui
159,Périodique,Roud Gustave,Dragons de nos campagnes,Illustré,,,14,,,1935-04-04,p. 35-36,"Cahiers, 6, p. 114-115.",Fait,,,Oui
71,Périodique,Roud Gustave,"Engagement d’un valet (1818), …D'une servante (1818), Les Plaisirs indirects ou Le Paradis des catalogues (rubrique ""Textes"")",Aujourd'hui,,,14,,,1930-03-06,p. 5,,Fait,,,
72,Périodique,Roud Gustave,"Entretien (rubrique ""Textes"")",Aujourd'hui,,,16,,,1930-03-20,p. 5-6,Sur Claudel,Fait,,,
599,Périodique,Roud Gustave,Entretiens,,,éd. Émilien Sermier,,Paris,Fario,2017,,,,,,
610,Périodique,Roud Gustave,Essai de réponse ,Matulu,,Interview de Gustave Roud par Jean-Pierre Martinet,17,,,1972-09,p. 6,,Fait,,,Non
513,Périodique,Roud Gustave,Etoile,,,,,Lausanne,Pour l'Art,1952-10,s.n.p.,"Un texte de Gustave Roud, accompagné d'une gravure de Palézieux. Quatrième plaquette de la série ""Un texte une gravure"", éditée à 50 exemplaires par l'Association Pour l'art. Repris dans Le Repos du cavalier, 1958.",Fait,,,Non
40,Périodique,Roud Gustave,"Exposition au Kursaal de Montreux (rubrique ""Beaux-Arts"")",Tribune de Lausanne ,,,,,,1923-04-04,p. 3,,Fait,,,Oui
51,Périodique,Roud Gustave,"Exposition Auberjonois, Dessins ou charmes",Gazette de Lausanne,,,,,,1927-05-21,p. 1,"Avant les autruches, après les iguanes, p. 103-104.",Fait,,,
27,Périodique,Roud Gustave,"Exposition Ch. Clément (rubrique ""Beaux-arts"")",La Revue romande,,,"4ème série, 12",,,1920-11-25,p. 15,"Salut à quelques peintres, p. 61-64.",Fait,,,
139,Périodique,Roud Gustave,"Exposition Henry Bischoff, ""Dessins de fantaisie"" de René Auberjonois (rubrique ""Notes"")",Aujourd'hui,,,100,,,1931-10-29,p. 5-6,"""Exposition Henry Bischoff"" a été repris dans Salut à quelques peintres, p. 43-44.",Fait,,,
34,Périodique,Roud Gustave,"Exposition R. Th. Bosshard (rubrique ""Notes et chroniques, Beaux-arts"")",La Revue romande,,,"4ème série, 21",,,1921-04-10,p. 14-15,"Salut à quelques peintres, p. 57-60.",Fait,,,
50,Périodique,Roud Gustave,Exposition René Auberjonois,Gazette de Lausanne,,,,,,1926-04-22,p. 2,"Avant les autruches, après les iguanes, p. 84-85.",Fait,,,
32,Périodique,Roud Gustave,"Exposition S.-Paul Robert et Jean Viollier (Vevey, Musée Jenisch) (rubrique ""Notes et chroniques, Beaux-arts"") ",La Revue romande,,,"4ème série, 17",,,1921-02-10,p. 15,,Fait,,,
31,Périodique,Roud Gustave,"Expositions, Publications (rubrique ""Notes et chroniques, Beaux-arts"")",La Revue romande,,,"4ème série, 15",,,1921-01-10,p. 14-15,,Fait,,,
84,Périodique,Roud Gustave,"Extraits d'Ulysse (rubrique ""Textes"")",Aujourd'hui,,,23,,,1930-05-08,p. 5,Extraits communiqués par Roud ?,Fait,,,
81,Périodique,Roud Gustave,Extraits des lettres d'Alain-Fournier à sa famille,Aujourd'hui,,,22,,,1930-05-01,p. 5-6,Extraits probablement communiqués par Roud.,Fait,,,
197,Périodique,Roud Gustave,Extrême automne,La Guilde du Livre,,,11,,,1940-11,p. 166-168,"“Extrême automne”, Air de la solitude, Ecrits II, p. 82-87",Fait,,,Oui
410,Périodique,Roud Gustave,Félix Vallotton graveur,Nouvelle revue de Lausanne,,,,,,1972-08-04,p. 15,,Fait,,,Oui
605,Périodique,Roud Gustave,Ferme d'extrême automne,Semeur vaudois,,,47,,,1954-11-20,4,,"A comparer avec Ferme d'extrême automne, Économie, périodique du comptoir suisse, no 9, 1949, pp. 63-66.",,,Non
277,Périodique,Roud Gustave,Ferme d’extrême-automne,Économie,,,9,,,1949,p. 63-66,,Fait,,,Non
417,Périodique,Roud Gustave,Fernand contre le ciel,Bulletin joie et travail,,,"7e année, 5",,,1974,p. 137,"Repris sans changement d'Air de la solitude. Choisi par l'auteur, cf. p. 155.",Pas repris,,,Oui
607,Périodique,Roud Gustave,Fernand contre le ciel,,,,,Lausanne,Le Verseau,1958-03-16,,Plaquette,,,,"Oui (boîte ""éditions originales"")"
170,Périodique,Roud Gustave,"Fernand contre le ciel (rubrique ""Saisons"")",Suisse romande,,,"1ère série, 2",,,1937-11-01,p. 77-80,"Le dernier paragraphe (depuis: “parmi les moissons”) est repris dans le poème “Fernand contre le ciel”, Air de la solitude, Écrits II, p. 181-182. Cahiers, 6, p. 55-57.",Fait,,,Oui
87,Périodique,Roud Gustave,"Fête, ""Vous avez bien dormi..."", ""Qui n’a pas son petit frisson..."", Ombres blanches, (rubrique ""Aujourd'hui"")",Aujourd'hui,,,27,,,1930-06-05,p. 1,,Fait,,,
287,Périodique,Roud Gustave,Feuillets,Rencontre,,,6,,,1950-11(-12),p. 1-7,"Repris de façon disparate dans Campagne perdue. “Ce matin, longues heures (...) seul port ici-bas”, repris in CP, Ecrits III, p.104. “Instant sans prix (...) pour le revoir”, repris in CP, Ecrits III, p.180-181. “Fernand laboure (...) en triompher”, repris in CP, Ecrits III, p.195-196 “Boix de Boulex (...) calme retrouvé”, repris in CP, Ecrits III, p.115-116. “Hier les petits chats (...) rire inextinguible de l’esprit”, repris in CP, Ecrits III, p.123-124. “Ce matin René (...) cerisier en [COMPLETER]",Fait,,,Oui
325,Périodique,Roud Gustave,Feuillets du Journal de Gustave Roud,Journal de la Maison Charles Veillon,,,3,Lausanne,,1955-07,p. 41,,Fait,,,
,Périodique,Roud Gustave,Fin d'hiver au Jorat,Lectures du foyer,,,10,,,1939-03-11,"p. 2, 3 et 5",,,,,Oui
314,Périodique,Roud Gustave,"Foins (rubrique ""Poésie de la terre"")",Semeur vaudois,,,,,,1954-02-27,p.6,"Reprend le chapitre “Foins” de Haut-Jorat d’été (Bulletin de La Guilde du Livre, août 1950), qui lui-même reprenait, avec quelques variantes, l’article “Les foins”, paru dans Le courrier de la Plata, en août 1946. Publié dans Halte en juin, p. 17-20, et dans Les fleurs et les saisons, p. 39-42. Cahiers, 6, p. 89-90.",Fait mais pas inséré (texte identique),,,Oui
28,Périodique,Roud Gustave,Fragment,La Revue romande,,,"4ème série, 13",,,1920-12-10,p. 8,"Cahiers, 1, p. 55-56. Repris avec quelques variantes dans “Labour ancien”, Campagne perdue, Ecrits III, p. 96-98.",Fait,,,
203,Périodique,Roud Gustave,Fragment d’un Hommage à C. F. Ramuz,Pages,,,2,,,1941-05,p. 4-5,"Fragment repris dans ""Hommage. Toute-puissance de la poésie (Scène)"", dans Feuille centrale de Zofingue, 81e année, 9/10, août/septembre 1941, pp. 497-500 (repris en volume la même année par la Librairie Rouge à Lausanne, pp. 29-32). Ce texte a été inséré par Philippe Jaccottet aux recueils des Écrits, dans une adjonction que Jaccottet a nommée Scène. “Fragment d’un hommage à C.F. Ramuz” se retrouve donc dans Scène, Écrits II, p.22-28.",Fait,,,Non
206,Périodique,Roud Gustave,Fragment d’une “réponse” à C. F. Ramuz,La Guilde du Livre,,,8,,,1941-08,p. 140-141,,Fait,,,Oui
673,Périodique,Roud Gustave,"Fragments du Milton de William Blake (rubrique ""Textes"")",Aujourd'hui,,,33,,,1930-07-17,p. 5-6,,Fait,,,
143,Périodique,Roud Gustave,"Froment (rubrique ""Écrit à Carrouge"")",Aujourd'hui,,,107,,,1931-12-17,p. 1-2,"Cahiers, 6, p. 104-107. Écrit à Carrouge, p. 85-91.",Fait,,,Oui
134,Périodique,Roud Gustave,"G. S.-B., Moissons (rubrique ""Écrit à Carrouge"")",Aujourd'hui,,,90,,,1931-08-20,p. 1-2,"Cahiers, 6, p. 93-96. Écrit à Carrouge, p. 70-76.",Fait,,,Oui
319,Périodique,Roud Gustave,Gérard de Palézieux,Gazette de Lausanne,,,,,,1954-12-24(-25),p .9,"Journal de Sierre et du Valais central, 1964. Salut à quelques peintres, p.99-104.",Fait,,,
374,Périodique,Roud Gustave,Gérard de Palézieux,Journal de Sierre et du Valais central,,,52 (numéro spécial du cinquantenaire),,,1964-07-01,s. n. p.,"Gazette de Lausanne, 24 décembre 1954.",Pas fait,,,Oui
301,Périodique,Roud Gustave,Grand Quai,La Guilde du Livre,,,12,,,1952-12,p. 318-319,Sur un livre d'Anne Pollier,Fait,,,Oui
284,Périodique,Roud Gustave,Grand-Saint-Bernard,Perspectives,,,"6e année, 1",,,1950-02,p. 17-19,,Fait,,,Oui
216,Périodique,Roud Gustave,Halte en juin,La Semaine de la femme,,,24,,,1942-06-13,p. 1,"Halte en juin, p. 13-16. Cahiers, 6, p. 87-88.",Fait,,,Oui
280,Périodique,Roud Gustave,Haut-Jorat,"Suisse contemporaine, ""Aspects scientifiques et littéraires du Pays de Vaud""",,,"13e série, 7–8",,,1949-07(-08),p. 400-404,"Repris avec quelques variantes (depuis “... peu à peu le paysage sortir...”) dans Haut-Jorat, p.22-32 (Fata Morgana, 2011). Il existe un tiré à part de ce numéro, Aspects scientifiques et littéraires du Pays de Vaud, numéro spécial de Suisse contemporaine publié à l'occasion de la 129e réunion de la Société helvétique des Sciences naturelles, du 3 au 5 septembre 1949, à Lausanne, et offert aux congressistes.",Fait,,,Non
285,Périodique,Roud Gustave,Haut-Jorat d’été,La Guilde du Livre,,,8,,,1950-08,p. 168-170,"Le premier poème, “Foins”, reprend avec quelques variantes l’article “Les foins” paru dans Le Courrier de la Plata en août 1946. Repris dans Semeur vaudois, 27.02.1954, et publié dans Les fleurs et les saisons, p.39-42, ainsi que “Rose-Mousse” (p.57-58) et “Cueilleurs de cerises” (p.43-46).",Fait,,,Oui
238,Périodique,Roud Gustave,Hölderlin,Formes et couleurs,,,3–4,,,1945,s.n.p. ,"Extrait de l'introduction aux Poëmes de Hölderlin, Mermod, 1942. Contient des extraits de traduction des poèmes de Hölderlin par Gustave Roud.",Fait,,,Non
171,Périodique,Roud Gustave,Hommage,Hommage à C. F. Ramuz,,,,Lausanne,V. Porchet,1938,p. 83-90,"Lectures, p. 71-76.",Fait,,,
320,Périodique,Roud Gustave,Hommage,Pays du Lac (Hommage au poète Edmond-Henri Crisinel),,,"2e série, 2",,,1954-12,p. 17-18,,Fait,,,Oui
399,Périodique,Roud Gustave,Hommage,Hommage à C. F. Landry,,,,Lausanne,Amis de C. F. Landry,1969-,p. 99-102,A l’occasion des 60 ans de l’écrivain,Fait,,,
310,Périodique,Roud Gustave,Hommage à Pierre-Louis Matthey pour ses soixante ans,Nouvelle revue de Lausanne,,,,,,1953-07-17,p. 1 et 3,,Fait,,,Oui
609,Périodique,Roud Gustave,Hommage de Gustave Roud,"13/12, Organe de l'association romande du personnel de la librairie et de l'édition (ARPLE)",,,"20e année, 6",,,1968-12,p. 6-7,"""Présence"", La Liberté, 1-2 avril 1972.",,,,Oui
205,Périodique,Roud Gustave,"Hommage, Toute-puissance de la poésie (Scène)",Feuille centrale de Zofingue,,,9 et 10,,,1941-08(-09),p. 491-503,"Repris en volume la même année par la Librairie Rouge à Lausanne, pp. 23-35. Ce texte a été inséré par Philippe Jaccottet aux recueils des Écrits, dans une adjonction que Jaccottet a nommée Scène. “Fragment d’un hommage à C. F. Ramuz” se retrouve donc dans Scène, Écrits II, p. 22-28.",Fait,,,Non
